SiteName,MonitorDate,Concentration,ItemUnit
竹東,2019-12-02,18,μg/m3
平鎮,2019-12-02,20,μg/m3
桃園,2019-12-02,19,μg/m3
萬華,2019-12-02,16,μg/m3
士林,2019-12-02,14,μg/m3
板橋,2019-12-02,18,μg/m3
汐止,2019-12-02,18,μg/m3
基隆,2019-12-02,19,μg/m3
馬公,2019-11-29,12,μg/m3
金門,2019-11-29,15,μg/m3
馬祖,2019-11-29,13,μg/m3
宜蘭,2019-11-29,8,μg/m3
陽明,2019-11-29,4,μg/m3
花蓮,2019-11-29,7,μg/m3
臺東,2019-11-29,6,μg/m3
恆春,2019-11-29,6,μg/m3
屏東,2019-11-29,21,μg/m3
前金,2019-11-29,18,μg/m3
美濃,2019-11-29,15,μg/m3
臺南,2019-11-29,18,μg/m3
新營,2019-11-29,17,μg/m3
嘉義,2019-11-29,18,μg/m3
朴子,2019-11-29,15,μg/m3
斗六,2019-11-29,17,μg/m3
南投,2019-11-29,11,μg/m3
彰化,2019-11-29,11,μg/m3
忠明,2019-11-29,10,μg/m3
豐原,2019-11-29,9,μg/m3
三義,2019-11-29,9,μg/m3
苗栗,2019-11-29,10,μg/m3
新竹,2019-11-29,10,μg/m3
竹東,2019-11-29,8,μg/m3
平鎮,2019-11-29,10,μg/m3
桃園,2019-11-29,10,μg/m3
萬華,2019-11-29,9,μg/m3
士林,2019-11-29,7,μg/m3
板橋,2019-11-29,10,μg/m3
汐止,2019-11-29,9,μg/m3
基隆,2019-11-29,,μg/m3
馬公,2019-11-26,13,μg/m3
金門,2019-11-26,12,μg/m3
馬祖,2019-11-26,13,μg/m3
宜蘭,2019-11-26,8,μg/m3
陽明,2019-11-26,3,μg/m3
花蓮,2019-11-26,8,μg/m3
臺東,2019-11-26,7,μg/m3
恆春,2019-11-26,6,μg/m3
屏東,2019-11-26,31,μg/m3
前金,2019-11-26,24,μg/m3
美濃,2019-11-26,24,μg/m3
臺南,2019-11-26,19,μg/m3
新營,2019-11-26,20,μg/m3
嘉義,2019-11-26,23,μg/m3
朴子,2019-11-26,16,μg/m3
斗六,2019-11-26,23,μg/m3
南投,2019-11-26,18,μg/m3
彰化,2019-11-26,13,μg/m3
忠明,2019-11-26,12,μg/m3
豐原,2019-11-26,13,μg/m3
三義,2019-11-26,8,μg/m3
苗栗,2019-11-26,9,μg/m3
新竹,2019-11-26,10,μg/m3
竹東,2019-11-26,7,μg/m3
平鎮,2019-11-26,10,μg/m3
桃園,2019-11-26,11,μg/m3
萬華,2019-11-26,11,μg/m3
士林,2019-11-26,9,μg/m3
板橋,2019-11-26,11,μg/m3
汐止,2019-11-26,10,μg/m3
基隆,2019-11-26,10,μg/m3
馬公,2019-11-23,10,μg/m3
金門,2019-11-23,14,μg/m3
馬祖,2019-11-23,10,μg/m3
宜蘭,2019-11-23,8,μg/m3
陽明,2019-11-23,,μg/m3
花蓮,2019-11-23,5,μg/m3
臺東,2019-11-23,5,μg/m3
恆春,2019-11-23,6,μg/m3
屏東,2019-11-23,27,μg/m3
前金,2019-11-23,28,μg/m3
美濃,2019-11-23,21,μg/m3
臺南,2019-11-23,37,μg/m3
新營,2019-11-23,34,μg/m3
嘉義,2019-11-23,31,μg/m3
朴子,2019-11-23,30,μg/m3
斗六,2019-11-23,33,μg/m3
南投,2019-11-23,21,μg/m3
彰化,2019-11-23,17,μg/m3
忠明,2019-11-23,17,μg/m3
豐原,2019-11-23,19,μg/m3
三義,2019-11-23,15,μg/m3
苗栗,2019-11-23,14,μg/m3
新竹,2019-11-23,12,μg/m3
竹東,2019-11-23,9,μg/m3
平鎮,2019-11-23,13,μg/m3
桃園,2019-11-23,9,μg/m3
萬華,2019-11-23,10,μg/m3
士林,2019-11-23,8,μg/m3
板橋,2019-11-23,9,μg/m3
汐止,2019-11-23,8,μg/m3
基隆,2019-11-23,8,μg/m3
馬公,2019-11-20,15,μg/m3
金門,2019-11-20,19,μg/m3
馬祖,2019-11-20,18,μg/m3
宜蘭,2019-11-20,6,μg/m3
陽明,2019-11-20,3,μg/m3
花蓮,2019-11-20,4,μg/m3
臺東,2019-11-20,6,μg/m3
恆春,2019-11-20,,μg/m3
屏東,2019-11-20,27,μg/m3
前金,2019-11-20,25,μg/m3
美濃,2019-11-20,21,μg/m3
臺南,2019-11-20,18,μg/m3
新營,2019-11-20,16,μg/m3
嘉義,2019-11-20,18,μg/m3
朴子,2019-11-20,14,μg/m3
斗六,2019-11-20,16,μg/m3
南投,2019-11-20,11,μg/m3
彰化,2019-11-20,9,μg/m3
忠明,2019-11-20,8,μg/m3
豐原,2019-11-20,7,μg/m3
三義,2019-11-20,5,μg/m3
苗栗,2019-11-20,7,μg/m3
新竹,2019-11-20,11,μg/m3
竹東,2019-11-20,4,μg/m3
平鎮,2019-11-20,11,μg/m3
桃園,2019-11-20,11,μg/m3
萬華,2019-11-20,11,μg/m3
士林,2019-11-20,9,μg/m3
板橋,2019-11-20,,μg/m3
汐止,2019-11-20,10,μg/m3
基隆,2019-11-20,10,μg/m3
馬公,2019-11-17,18,μg/m3
金門,2019-11-17,25,μg/m3
馬祖,2019-11-17,15,μg/m3
宜蘭,2019-11-17,10,μg/m3
陽明,2019-11-17,,μg/m3
花蓮,2019-11-17,8,μg/m3
臺東,2019-11-17,8,μg/m3
恆春,2019-11-17,6,μg/m3
屏東,2019-11-17,23,μg/m3
前金,2019-11-17,22,μg/m3
美濃,2019-11-17,21,μg/m3
臺南,2019-11-17,32,μg/m3
新營,2019-11-17,33,μg/m3
嘉義,2019-11-17,35,μg/m3
朴子,2019-11-17,34,μg/m3
斗六,2019-11-17,37,μg/m3
南投,2019-11-17,,μg/m3
彰化,2019-11-17,38,μg/m3
忠明,2019-11-17,33,μg/m3
豐原,2019-11-17,25,μg/m3
三義,2019-11-17,26,μg/m3
苗栗,2019-11-17,34,μg/m3
新竹,2019-11-17,36,μg/m3
竹東,2019-11-17,30,μg/m3
平鎮,2019-11-17,34,μg/m3
桃園,2019-11-17,34,μg/m3
萬華,2019-11-17,27,μg/m3
士林,2019-11-17,30,μg/m3
板橋,2019-11-17,31,μg/m3
汐止,2019-11-17,26,μg/m3
基隆,2019-11-17,25,μg/m3
馬公,2019-11-14,26,μg/m3
金門,2019-11-14,28,μg/m3
馬祖,2019-11-14,23,μg/m3
宜蘭,2019-11-14,25,μg/m3
陽明,2019-11-14,20,μg/m3
花蓮,2019-11-14,18,μg/m3
臺東,2019-11-14,18,μg/m3
恆春,2019-11-14,19,μg/m3
屏東,2019-11-14,40,μg/m3
前金,2019-11-14,44,μg/m3
美濃,2019-11-14,32,μg/m3
臺南,2019-11-14,35,μg/m3
新營,2019-11-14,36,μg/m3
嘉義,2019-11-14,42,μg/m3
朴子,2019-11-14,30,μg/m3
斗六,2019-11-14,42,μg/m3
南投,2019-11-14,32,μg/m3
彰化,2019-11-14,23,μg/m3
忠明,2019-11-14,22,μg/m3
豐原,2019-11-14,22,μg/m3
三義,2019-11-14,22,μg/m3
苗栗,2019-11-14,24,μg/m3
新竹,2019-11-14,25,μg/m3
竹東,2019-11-14,23,μg/m3
平鎮,2019-11-14,26,μg/m3
桃園,2019-11-14,25,μg/m3
萬華,2019-11-14,25,μg/m3
士林,2019-11-14,23,μg/m3
板橋,2019-11-14,25,μg/m3
汐止,2019-11-14,25,μg/m3
基隆,2019-11-14,24,μg/m3
馬公,2019-11-11,13,μg/m3
金門,2019-11-11,33,μg/m3
馬祖,2019-11-11,28,μg/m3
宜蘭,2019-11-11,13,μg/m3
陽明,2019-11-11,11,μg/m3
花蓮,2019-11-11,10,μg/m3
臺東,2019-11-11,9,μg/m3
恆春,2019-11-11,8,μg/m3
屏東,2019-11-11,23,μg/m3
前金,2019-11-11,21,μg/m3
美濃,2019-11-11,18,μg/m3
臺南,2019-11-11,27,μg/m3
新營,2019-11-11,33,μg/m3
嘉義,2019-11-11,31,μg/m3
朴子,2019-11-11,29,μg/m3
斗六,2019-11-11,33,μg/m3
南投,2019-11-11,,μg/m3
彰化,2019-11-11,25,μg/m3
忠明,2019-11-11,24,μg/m3
豐原,2019-11-11,22,μg/m3
三義,2019-11-11,17,μg/m3
苗栗,2019-11-11,,μg/m3
新竹,2019-11-11,15,μg/m3
竹東,2019-11-11,16,μg/m3
平鎮,2019-11-11,14,μg/m3
桃園,2019-11-11,14,μg/m3
萬華,2019-11-11,13,μg/m3
士林,2019-11-11,13,μg/m3
板橋,2019-11-11,13,μg/m3
汐止,2019-11-11,15,μg/m3
基隆,2019-11-11,13,μg/m3
馬公,2019-11-08,15,μg/m3
金門,2019-11-08,20,μg/m3
馬祖,2019-11-08,19,μg/m3
宜蘭,2019-11-08,11,μg/m3
陽明,2019-11-08,,μg/m3
花蓮,2019-11-08,10,μg/m3
臺東,2019-11-08,10,μg/m3
恆春,2019-11-08,10,μg/m3
屏東,2019-11-08,30,μg/m3
前金,2019-11-08,24,μg/m3
美濃,2019-11-08,24,μg/m3
臺南,2019-11-08,19,μg/m3
新營,2019-11-08,19,μg/m3
嘉義,2019-11-08,19,μg/m3
朴子,2019-11-08,18,μg/m3
斗六,2019-11-08,18,μg/m3
南投,2019-11-08,14,μg/m3
彰化,2019-11-08,14,μg/m3
忠明,2019-11-08,12,μg/m3
豐原,2019-11-08,11,μg/m3
三義,2019-11-08,11,μg/m3
苗栗,2019-11-08,13,μg/m3
新竹,2019-11-08,13,μg/m3
竹東,2019-11-08,11,μg/m3
平鎮,2019-11-08,13,μg/m3
桃園,2019-11-08,12,μg/m3
萬華,2019-11-08,12,μg/m3
士林,2019-11-08,11,μg/m3
板橋,2019-11-08,12,μg/m3
汐止,2019-11-08,12,μg/m3
基隆,2019-11-08,11,μg/m3
馬公,2019-11-05,20,μg/m3
金門,2019-11-05,25,μg/m3
馬祖,2019-11-05,25,μg/m3
宜蘭,2019-11-05,13,μg/m3
陽明,2019-11-05,13,μg/m3
花蓮,2019-11-05,11,μg/m3
臺東,2019-11-05,10,μg/m3
恆春,2019-11-05,10,μg/m3
